ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
343,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,,RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.62 7800253.15)
344,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,,RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.62 7800253.15)
361,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,BARREIRO,POINT (602920.55 7791160.91)
362,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,BARREIRO,POINT (602920.55 7791160.91)
381,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
382,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,CENTRO,POINT (611149.57 7796793.31)
390,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,DESEMBARGADOR RIBEIRO DA LUZ,ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA,BARREIRO,POINT (602992.54 7791137.00)
391,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,DESEMBARGADOR RIBEIRO DA LUZ,ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA,BARREIRO,POINT (602992.54 7791137.00)
74,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
75,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.29 7790799.21)
114,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,,RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.38 7794681.32)
